id;i_d_restaurant;name;position;rating
1;19018;Avon;Riel Plastic primary;0
2;61234;quantifying cross-platform;Buckinghamshire embrace withdrawal;1
3;45080;payment Agent Compatible;Avon Regional synthesizing;5
4;61367;Marketing Keyboard;deposit Internal payment;0
5;80334;Licensed e-markets;Awesome Re-contextualized Djibouti;5
6;75341;Specialist Tasty Granite Ball;Planner;0
7;73595;copying Global empower;invoice grey Niue;0
8;9006;Shoes Assistant;CSS Ameliorated integrated;3
9;74789;Awesome Cotton Bacon Soap;Reduced Avon navigating;3
10;5248;Visionary wireless methodical;Bike Plastic;3
